mail.ru,mail.ru/,Почта Mail.Ru,1600305,62
RS_Total/Riaru_Total,ria.ru,РИА Новости: главные новости часа,1411582,81
Lenta,lenta.ru,Lenta.Ru,874203,76
mk,www.mk.ru,МОСКОВСКИЙ КОМСОМОЛЕЦ,871456,84
hsdigital,www.hsdigital.ru/,Hearst Shkulev Digital,812488,78
mic_izvestia,iz.ru,Известия,783652,82
kp,kp.ru,Комсомольская правда-Digital,718697,70
news.rambler.ru,news.rambler.ru/,Рамблер/медиа - главные новости и cобытия в России и мире,662980,76
RBCRU,www.rbc.ru,"РБК - РосБизнесКонсалтинг - новости, курсы валют, погода",583009,82
otvet.mail.ru,otvet.mail.ru/,Ответы Mail.Ru,554984,84
gazeta_all,www.gazeta.ru/,Газета.Ru: Главные новости и подробности текущих событий,549609,82
hsdigital/wn,hearst-shkulev-media.ru,Women's Network Hearst Shkulev Media,519753,72
rg.ru,rg.ru/,Российская Газета: издание Правительства РФ,451386,87
vkontakte.ru,vkontakte.ru/,ВКонтакте.ру,443868,80
drom,www.drom.ru,"Drom.ru - продажа автомобилей, отзывы, форумы, каталоги",431764,90
russian.rt.com,russian.rt.com/,RT на русском,373335,76
go.mail.ru,go.mail.ru/,Поиск Mail.Ru,362670,74
TASS_total,tass.ru,ТАСС - Новости в России и мире,357403,81
ren.tv,ren.tv/,Новости - наше призвание. РЕН ТВ,355871,82
kommersant.ru,www.kommersant.ru/,&quot;Коммерсантъ&quot;. Издательский дом,338769,87
vesti.ru,vesti.ru/,Информационный канал &quot;Вести&quot;,288757,77
farpost,farpost.ru,Сайты Владивостока,271378,95
ura.ru,ura.ru/,URA.Ru - Российское информационное агентство,254381,92
smi2.ru,smi2.ru/,СМИ2 - Новостной агрегатор и новостная обменная сеть,244917,76
uwatch.club,uwatch.club/,uWatch Онлайн передачи,242168,96
echo.msk.ru,www.echo.msk.ru/,Эхо Москвы,238296,76
Lentainform,lentainform.com/,Lentainform.com - Эффективная система рекомендации контента,233475,65
NaPlatforme,mirtesen.ru,Рекомендательная социальная сеть МирТесен,221434,68
vz.ru,vz.ru/,ВЗГЛЯД.РУ,219536,81
mail-my,my.mail.ru/,Мой Мир Mail.Ru,208969,69
sm-news.ru,sm-news.ru/,РИА &quot;SM News&quot;,187471,68
AIF,www.aif.ru,"Аргументы и Факты //  Объясняем, что происходит",186608,67
championat_com,championat.com,Чемпионат: ведущий сайт о спорте,185759,77
hsdigital/rn/smi,news.ngs.ru,Сеть городских порталов Hearst Shkulev Digital — НОВОСТИ,182595,93
tvzvezda.ru,tvzvezda.ru/,"ЗВЕЗДА, медиагруппа  | Круглосуточное информационное вещание",178815,74
irecommend.ru,irecommend.ru/,IRecommend - отзывы о товарах и услугах,176973,74
rutube.ru,www.rutube.ru/,Rutube - лучшее видео:),174812,72
woman.ru,www.woman.ru/,"Woman.ru - интернет для женщин: звезды, мода, красота, мы и мужчины",167312,76
Sportbox,www.sportbox.ru,Sportbox.ru,162697,87
dni.ru,dni.ru/,ДНИ ру - интернет-газета,149389,82
HeadHunter,hh.ru/,HeadHunter Group - Online Hiring Services,148175,73
gazeta.ru/politics,www.gazeta.ru/politics/,Газета.Ru: Политика,133704,86
kino-teatr.ru,www.kino-teatr.ru/,"Кино-Театр.РУ - интервью, статьи, премьеры, новости кино и театра",130619,63
riafan.ru,riafan.ru/,Федеральное агентство новостей,128296,82
mail.ru,mail.ru/,Почта Mail.Ru,4187478,65
RS_Total/Riaru_Total,ria.ru,РИА Новости: главные новости часа,3589538,81
Lenta,lenta.ru,Lenta.Ru,2540782,79
mk,www.mk.ru,МОСКОВСКИЙ КОМСОМОЛЕЦ,2057631,84
hsdigital,www.hsdigital.ru/,Hearst Shkulev Digital,2045661,79
kp,kp.ru,Комсомольская правда-Digital,1876293,70
mic_izvestia,iz.ru,Известия,1757355,81
news.rambler.ru,news.rambler.ru/,Рамблер/медиа - главные новости и cобытия в России и мире,1664291,76
RBCRU,www.rbc.ru,"РБК - РосБизнесКонсалтинг - новости, курсы валют, погода",1552631,82
otvet.mail.ru,otvet.mail.ru/,Ответы Mail.Ru,1306451,85
gazeta_all,www.gazeta.ru/,Газета.Ru: Главные новости и подробности текущих событий,1299005,82
russian.rt.com,russian.rt.com/,RT на русском,1267487,78
hsdigital/wn,hearst-shkulev-media.ru,Women's Network Hearst Shkulev Media,1247779,74
rg.ru,rg.ru/,Российская Газета: издание Правительства РФ,1164255,87
TASS_total,tass.ru,ТАСС - Новости в России и мире,1079326,84
kommersant.ru,www.kommersant.ru/,&quot;Коммерсантъ&quot;. Издательский дом,1025956,88
go.mail.ru,go.mail.ru/,Поиск Mail.Ru,962928,74
drom,www.drom.ru,"Drom.ru - продажа автомобилей, отзывы, форумы, каталоги",949248,88
vkontakte.ru,vkontakte.ru/,ВКонтакте.ру,870127,80
ren.tv,ren.tv/,Новости - наше призвание. РЕН ТВ,770457,81
echo.msk.ru,www.echo.msk.ru/,Эхо Москвы,698327,79
ura.ru,ura.ru/,URA.Ru - Российское информационное агентство,692459,92
vesti.ru,vesti.ru/,Информационный канал &quot;Вести&quot;,691552,78
smi2.ru,smi2.ru/,СМИ2 - Новостной агрегатор и новостная обменная сеть,654696,76
Lentainform,lentainform.com/,Lentainform.com - Эффективная система рекомендации контента,641062,65
hsdigital/rn/smi,news.ngs.ru,Сеть городских порталов Hearst Shkulev Digital — НОВОСТИ,532831,93
AIF,www.aif.ru,"Аргументы и Факты //  Объясняем, что происходит",506078,69
vz.ru,vz.ru/,ВЗГЛЯД.РУ,502888,80
mail-my,my.mail.ru/,Мой Мир Mail.Ru,494750,71
HeadHunter,hh.ru/,HeadHunter Group - Online Hiring Services,492745,72
NaPlatforme,mirtesen.ru,Рекомендательная социальная сеть МирТесен,492622,69
sm-news.ru,sm-news.ru/,РИА &quot;SM News&quot;,487265,69
farpost,farpost.ru,Сайты Владивостока,480385,94
tvzvezda.ru,tvzvezda.ru/,"ЗВЕЗДА, медиагруппа  | Круглосуточное информационное вещание",459573,75
uwatch.club,uwatch.club/,uWatch Онлайн передачи,453965,94
irecommend.ru,irecommend.ru/,IRecommend - отзывы о товарах и услугах,451071,75
championat_com,championat.com,Чемпионат: ведущий сайт о спорте,436244,78
2gis,www.2gis.ru,Карта онлайн со справочником организаций — 2ГИС,421389,70
starhit.ru,starhit.ru/,Starhit.ru - проект Андрея Малахова о звездах,388764,80
rutube.ru,www.rutube.ru/,Rutube - лучшее видео:),384404,72
woman.ru,www.woman.ru/,"Woman.ru - интернет для женщин: звезды, мода, красота, мы и мужчины",380668,78
dni.ru,dni.ru/,ДНИ ру - интернет-газета,374704,83
Sportbox,www.sportbox.ru,Sportbox.ru,367747,88
bfm.ru,bfm.ru/,BFM.ru - деловой портал,340515,89
